record_type,rank,frame,i_plus,i_minus,v_plus,v_minus,electrode,rms_kohm,relative_rms_percent,correlation,max_abs_kohm
pair,20,,E10,E11,E8,E9,,0.000128176,,,0.000222895
pair,21,,E11,E12,E1,E2,,0.000123033,,,0.000225995
pair,22,,E2,E3,E5,E6,,0.000122821,,,0.000229006
pair,23,,E3,E4,E1,E2,,0.000110667,,,0.000235406
pair,24,,E12,E1,E3,E4,,0.000108321,,,0.000236771
pair,25,,E4,E5,E12,E1,,0.000103467,,,0.000169483
pair,26,,E11,E12,E2,E3,,0.000103002,,,0.000187888
pair,27,,E11,E12,E9,E10,,0.000102499,,,0.000177455
pair,28,,E8,E9,E4,E5,,0.000099867,,,0.000209460
pair,29,,E3,E4,E9,E10,,0.000099370,,,0.000176657
pair,30,,E11,E12,E8,E9,,0.000098458,,,0.000173529
pair,31,,E9,E10,E1,E2,,0.000097028,,,0.000169890
pair,32,,E3,E4,E12,E1,,0.000096643,,,0.000189302
pair,33,,E10,E11,E4,E5,,0.000087185,,,0.000209686
pair,34,,E8,E9,E12,E1,,0.000085143,,,0.000160214
pair,35,,E3,E4,E10,E11,,0.000084676,,,0.000134586
pair,36,,E12,E1,E9,E10,,0.000084605,,,0.000154785
pair,37,,E11,E12,E3,E4,,0.000075701,,,0.000124086
pair,38,,E2,E3,E10,E11,,0.000075292,,,0.000119621
pair,39,,E12,E1,E10,E11,,0.000075178,,,0.000131725
pair,40,,E5,E6,E2,E3,,0.000074949,,,0.000126290
pair,41,,E9,E10,E3,E4,,0.000072794,,,0.000114821
pair,42,,E4,E5,E7,E8,,0.000071127,,,0.000129158
pair,43,,E9,E10,E2,E3,,0.000068863,,,0.000133101
pair,44,,E2,E3,E9,E10,,0.000066567,,,0.000103353
pair,45,,E11,E12,E4,E5,,0.000066368,,,0.000117407
pair,46,,E8,E9,E1,E2,,0.000066347,,,0.000121369
pair,47,,E8,E9,E6,E7,,0.000065918,,,0.000139343
pair,48,,E7,E8,E9,E10,,0.000065306,,,0.000131981
pair,49,,E7,E8,E12,E1,,0.000065112,,,0.000128719
pair,50,,E6,E7,E12,E1,,0.000064841,,,0.000151307
pair,51,,E10,E11,E1,E2,,0.000064634,,,0.000156415
pair,52,,E5,E6,E1,E2,,0.000063952,,,0.000142151
pair,53,,E2,E3,E11,E12,,0.000062310,,,0.000130968
pair,54,,E1,E2,E10,E11,,0.000060713,,,0.000119080
pair,55,,E4,E5,E1,E2,,0.000060110,,,0.000106125
pair,56,,E4,E5,E2,E3,,0.000060073,,,0.000121045
pair,57,,E6,E7,E10,E11,,0.000058314,,,0.000102345
pair,58,,E7,E8,E10,E11,,0.000056437,,,0.000082571
pair,59,,E10,E11,E2,E3,,0.000056242,,,0.000110751
pair,60,,E12,E1,E4,E5,,0.000055924,,,0.000122008
pair,61,,E6,E7,E8,E9,,0.000055861,,,0.000089293
pair,62,,E10,E11,E7,E8,,0.000055814,,,0.000103890
pair,63,,E10,E11,E5,E6,,0.000055634,,,0.000092867
pair,64,,E3,E4,E6,E7,,0.000055409,,,0.000114646
pair,65,,E5,E6,E7,E8,,0.000055026,,,0.000096869
pair,66,,E6,E7,E9,E10,,0.000054514,,,0.000128991
pair,67,,E11,E12,E5,E6,,0.000054303,,,0.000117641
pair,68,,E2,E3,E6,E7,,0.000054264,,,0.000087086
pair,69,,E12,E1,E5,E6,,0.000054257,,,0.000112714
pair,70,,E10,E11,E6,E7,,0.000052295,,,0.000082547
pair,71,,E7,E8,E11,E12,,0.000051495,,,0.000090950
pair,72,,E8,E9,E2,E3,,0.000049697,,,0.000096413
pair,73,,E11,E12,E6,E7,,0.000049132,,,0.000093644
pair,74,,E4,E5,E6,E7,,0.000048728,,,0.000089699
pair,75,,E12,E1,E6,E7,,0.000046284,,,0.000097830
pair,76,,E5,E6,E12,E1,,0.000045307,,,0.000081043
pair,77,,E6,E7,E1,E2,,0.000045235,,,0.000089139
pair,78,,E5,E6,E3,E4,,0.000044882,,,0.000084332
pair,79,,E4,E5,E10,E11,,0.000043899,,,0.000091464
pair,80,,E1,E2,E6,E7,,0.000042900,,,0.000094401
pair,81,,E3,E4,E7,E8,,0.000042414,,,0.000081361
pair,82,,E1,E2,E9,E10,,0.000042289,,,0.000105700
pair,83,,E4,E5,E8,E9,,0.000041737,,,0.000070953
pair,84,,E10,E11,E3,E4,,0.000041416,,,0.000075954
pair,85,,E7,E8,E1,E2,,0.000040665,,,0.000100603
pair,86,,E12,E1,E8,E9,,0.000039466,,,0.000085908
pair,87,,E7,E8,E2,E3,,0.000038527,,,0.000078159
pair,88,,E1,E2,E5,E6,,0.000038119,,,0.000064383
pair,89,,E3,E4,E8,E9,,0.000037949,,,0.000066973
pair,90,,E5,E6,E11,E12,,0.000036372,,,0.000089483
pair,91,,E5,E6,E9,E10,,0.000036232,,,0.000054192
pair,92,,E7,E8,E3,E4,,0.000036168,,,0.000059142
pair,93,,E6,E7,E11,E12,,0.000035868,,,0.000065365
pair,94,,E1,E2,E7,E8,,0.000035779,,,0.000069319
pair,95,,E11,E12,E7,E8,,0.000035376,,,0.000071957
pair,96,,E2,E3,E7,E8,,0.000033466,,,0.000089581
pair,97,,E5,E6,E10,E11,,0.000032855,,,0.000055803
pair,98,,E9,E10,E6,E7,,0.000032360,,,0.000077060
pair,99,,E2,E3,E8,E9,,0.000032129,,,0.000055198
pair,100,,E4,E5,E9,E10,,0.000031721,,,0.000054308
pair,101,,E6,E7,E2,E3,,0.000031090,,,0.000050832
pair,102,,E4,E5,E11,E12,,0.000029817,,,0.000048806
pair,103,,E1,E2,E8,E9,,0.000029482,,,0.000058889
pair,104,,E5,E6,E8,E9,,0.000029178,,,0.000056494
pair,105,,E6,E7,E3,E4,,0.000027346,,,0.000047370
pair,106,,E3,E4,E11,E12,,0.000026669,,,0.000046695
pair,107,,E12,E1,E7,E8,,0.000021367,,,0.000040996
pair,108,,E8,E9,E3,E4,,0.000020476,,,0.000042540
electrode,1,,,,,,E9,0.000131649,,,
electrode,2,,,,,,E12,0.000122813,,,
electrode,3,,,,,,E10,0.000121789,,,
electrode,4,,,,,,E11,0.000117539,,,
electrode,5,,,,,,E5,0.000116945,,,
electrode,6,,,,,,E1,0.000109169,,,
electrode,7,,,,,,E8,0.000108229,,,
electrode,8,,,,,,E4,0.000106298,,,
electrode,9,,,,,,E2,0.000099801,,,
electrode,10,,,,,,E3,0.000098504,,,
electrode,11,,,,,,E6,0.000095201,,,
electrode,12,,,,,,E7,0.000080325,,,
